Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
"Lincoln, Broadfield Ews",17603,H32645,-43.62622,172.4704,18,H,Niwa/Plant & Food Research,,,,
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa,,,,
Sugar Loaf Aws,35136,H32669,-43.60369,172.64928,496,H,Metservice,,,,
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa,,,,
Bromley Ews,43967,H3257J,-43.52828,172.72096,3,H,Niwa,,,,
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa,,,,
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa,,,,
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,
,,,,,,,,,,,
Max_min: Daily,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
35136,24/02/19,16.6,24,7.3,24,-,-,-,-,-,D
40985,24/02/19,20.2,24,10.2,24,9.2,24,-,-,-,D
4843,24/02/19,19.7,24,11.2,24,10.5,24,-,-,-,D
17603,25/02/19,15,24,8.3,24,6.4,24,-,-,-,D
24120,25/02/19,16.4,24,7.9,24,-,-,-,-,-,D
35136,25/02/19,12.4,24,5.9,24,-,-,-,-,-,D
40985,25/02/19,14,24,8.8,24,5.8,24,-,-,-,D
4843,25/02/19,16.8,24,8.3,24,7.2,24,-,-,-,D
17603,26/02/19,16,24,9,24,7.1,24,-,-,-,D
24120,26/02/19,18.2,24,8.1,24,-,-,-,-,-,D
35136,26/02/19,14.3,24,6.4,24,-,-,-,-,-,D
40985,26/02/19,16.7,24,10.1,24,6.9,24,-,-,-,D
4843,26/02/19,16.7,24,6,24,4.2,24,-,-,-,D
17603,27/02/19,22,24,11.8,24,9.1,24,-,-,-,D
24120,27/02/19,21.2,24,12.2,24,-,-,-,-,-,D
35136,27/02/19,20.1,24,11.6,24,-,-,-,-,-,D
40985,27/02/19,21.1,24,12.7,24,8.5,24,-,-,-,D
4843,27/02/19,22,24,10.3,24,9.1,24,-,-,-,D
17603,28/02/19,26.6,24,5.3,24,1.9,24,-,-,-,D
24120,28/02/19,28.1,24,6.4,24,-,-,-,-,-,D
35136,28/02/19,22.6,24,5.7,24,-,-,-,-,-,D
40985,28/02/19,25.8,24,8,24,6.8,24,-,-,-,D
4843,28/02/19,27.5,24,7,24,4.9,24,-,-,-,D
17603,01/03/19,15.4,24,3,24,0.1,24,-,-,-,D
24120,01/03/19,17.2,24,4,24,-,-,-,-,-,D
35136,01/03/19,13.6,24,6.6,24,-,-,-,-,-,D
40985,01/03/19,15.2,24,6,24,0.6,24,-,-,-,D
4843,01/03/19,16.5,24,2.8,24,0.6,24,-,-,-,D
